caldt,vwretx
12/3/2019,-0.006595
12/4/2019,0.006233
12/5/2019,0.001427
12/6/2019,0.009062
12/9/2019,-0.003133
12/10/2019,-0.001155
12/11/2019,0.00292
12/12/2019,0.008492
12/13/2019,0.000045
12/16/2019,0.006997
12/17/2019,0.000391
12/18/2019,-0.000427
12/19/2019,0.00447
12/20/2019,0.004846
12/23/2019,0.000897
12/24/2019,-0.000202
12/26/2019,0.005296
12/27/2019,-0.000062
12/30/2019,-0.005763
12/31/2019,0.002891
1/2/2020,0.008448
1/3/2020,-0.00705
1/6/2020,0.003563
1/7/2020,-0.002768
1/8/2020,0.004783
1/9/2020,0.006685
1/10/2020,-0.002845
1/13/2020,0.006954
1/14/2020,-0.00148
1/15/2020,0.001763
1/16/2020,0.008422
1/17/2020,0.003722
1/21/2020,-0.002635
1/22/2020,0.000287
1/23/2020,0.001121
1/24/2020,-0.009099
1/27/2020,-0.015637
1/28/2020,0.010098
1/29/2020,-0.000925
1/30/2020,0.003226
1/31/2020,-0.017292
2/3/2020,0.007022
2/4/2020,0.01499
2/5/2020,0.011094
2/6/2020,0.003301
2/7/2020,-0.005221
2/10/2020,0.007339
2/11/2020,0.001977
2/12/2020,0.006526
2/13/2020,-0.001639
2/14/2020,0.001773
2/18/2020,-0.00272
2/19/2020,0.004617
2/20/2020,-0.0039
2/21/2020,-0.010626
2/24/2020,-0.03348
2/25/2020,-0.030289
2/26/2020,-0.003779
2/27/2020,-0.043973
2/28/2020,-0.008407
3/2/2020,0.045934
3/3/2020,-0.028047
3/4/2020,0.042092
3/5/2020,-0.033837
3/6/2020,-0.016852
3/9/2020,-0.075376
3/10/2020,0.049253
3/11/2020,-0.048817
3/12/2020,-0.095239
3/13/2020,0.09287
3/16/2020,-0.119008
3/17/2020,0.060195
3/18/2020,-0.050483
3/19/2020,0.004561
3/20/2020,-0.043348
3/23/2020,-0.028579
3/24/2020,0.092545
3/25/2020,0.010967
3/26/2020,0.062042
3/27/2020,-0.033561
3/30/2020,0.033381
3/31/2020,-0.016046
4/1/2020,-0.043651
4/2/2020,0.022564
4/3/2020,-0.014679
4/6/2020,0.070005
4/7/2020,-0.001677
4/8/2020,0.033551
4/9/2020,0.014328
4/13/2020,-0.009386
4/14/2020,0.030725
4/15/2020,-0.021615
4/16/2020,0.006184
4/17/2020,0.026283
4/20/2020,-0.017773
4/21/2020,-0.03047
4/22/2020,0.022818
4/23/2020,-0.000469
4/24/2020,0.013737
4/27/2020,0.014411
4/28/2020,-0.005312
4/29/2020,0.026168
4/30/2020,-0.008969
5/1/2020,-0.028094
5/4/2020,0.004449
5/5/2020,0.009042
5/6/2020,-0.006916
5/7/2020,0.011688
5/8/2020,0.016904
5/11/2020,0.00014
5/12/2020,-0.020587
5/13/2020,-0.017206
5/14/2020,0.011461
5/15/2020,0.004165
5/18/2020,0.03137
5/19/2020,-0.010493
5/20/2020,0.016523
5/21/2020,-0.007995
5/22/2020,0.002293
5/26/2020,0.012146
5/27/2020,0.014587
5/28/2020,-0.001984
5/29/2020,0.00476
6/1/2020,0.003935
6/2/2020,0.008046
6/3/2020,0.013505
6/4/2020,-0.003471
6/5/2020,0.025789
6/8/2020,0.012245
6/9/2020,-0.007532
6/10/2020,-0.005113
6/11/2020,-0.058375
6/12/2020,0.012761
6/15/2020,0.008428
